stock_id,stock_name,risk,roi,sharpe_ratio,correlation_to_hsi,PE_ratio,var
000001.SS,SSE Composite Index,34.83267439247275,1.5351599742554314,0.04407241192445377,1.0,0,-1.9790232452378338
601328.SS,"Bank of Communications Co., Ltd.",32.93976744156152,83.09634242310841,2.5226754430045606,0.4490349236811033,6.35,-1.8714774732791033
601899.SS,Zijin Mining Group Company Limited,90.72564556525529,352.8414515638701,3.8891037849941283,0.524063344733524,18.51,-5.154590184199262
688012.SS,Advanced Micro-Fabrication Equipment Inc. China,130.88050787509425,84.68968363783935,0.6470763676945914,0.3652832296443154,53.73,-7.435994276951571
600941.SS,China Mobile Limited,46.36102971302287,96.26320057699711,2.076381848567023,0.2508806120624334,15.84,-3.653522719948693
601728.SS,China Telecom Corporation Limited,50.404995227665836,5.926622206251634,0.11758005688687544,0.2912935148760387,17.24,-3.7160313072435076
601857.SS,PetroChina Company Limited,61.67353885868828,71.93699187068397,1.1664158276292884,0.4195778687698488,9.79,-3.5039906968440624
601166.SS,"Industrial Bank Co., Ltd.",57.90123396340564,13.388937967864711,0.23123752382076523,0.5071154446723943,5.07,-3.289666669013972
600036.SS,"China Merchants Bank Co., Ltd.",63.71232317977839,11.976469164485115,0.18797727922572943,0.5923880208855723,5.74,-3.6198245118994943
603968.SS,"Nantong Acetic Acid Chemical Co., Ltd.",83.24507735833913,-34.546640318043124,-0.414999197722319,0.4407196688779541,-43.48,-4.729580660030387
601658.SS,"Postal Savings Bank of China Co., Ltd.",51.8305053259324,6.686718789828104,0.1290112598320073,0.4071311073633974,5.83,-3.04685884308555
601985.SS,"China National Nuclear Power Co., Ltd.",62.02097758043315,123.8214266264152,1.9964442912212228,0.42776749808395853,19.11,-3.5237304761926564
601288.SS,Agricultural Bank of China Limited,31.362732475098124,79.81752672906795,2.544979994725993,0.3462278264035171,6.54,-1.7818780120945101
688041.SS,"Hygon Information Technology Co., Ltd.",87.05636063066184,22.873083821841515,0.2627388011185188,0.2913528925720523,131.61,-7.825337132291753
601398.SS,Industrial and Commercial Bank of China Limited,32.88950282836635,44.13853521181708,1.3420250054296572,0.3593540155576183,6.18,-1.8686216822822561
601988.SS,Bank of China Limited,32.62904207266213,74.74180254771088,2.2906526762651254,0.3496598647646339,6.38,-1.8538235681838953
600900.SS,"China Yangtze Power Co., Ltd.",41.45059571677382,84.24836535186665,2.0325007130783854,0.27672631458664954,26.05,-2.3550213666676716
600028.SS,China Petroleum & Chemical Corporation,47.72083988784064,85.63973765766856,1.7945982899494133,0.4289000008856621,12.63,-2.711266162230651
600519.SS,"Kweichow Moutai Co., Ltd.",62.782595162376055,54.50553270713087,0.8681631042196005,0.5391619034368119,22.41,-3.567001885148052
601318.SS,"Ping An Insurance (Group) Company of China, Ltd.",57.575107018830444,-41.86755245999817,-0.7271814960987397,0.6438809932165097,8.75,-3.271137721252437
600050.SS,China United Network Communications Limited,63.6928826051834,-8.11615131617725,-0.12742634630759747,0.4847455900251535,16.52,-3.6187199929472382
601668.SS,China State Construction Engineering Corporation Limited,55.98006471949209,22.754346802323262,0.4064723203937323,0.5433626922153895,4.2,-3.180515170943456
601669.SS,"Power Construction Corporation of China, Ltd",79.24166811830989,26.033492532223917,0.3285328685074528,0.48155440966089685,7.94,-4.502126406677681
601628.SS,China Life Insurance Company Limited,78.45439004775116,13.02676272919235,0.1660424957897656,0.5885427119863614,44.01,-4.457397093488958
601633.SS,Great Wall Motor Company Limited,107.25144834558812,199.14628711483454,1.8568167627269772,0.4441432558688915,18.82,-6.093505969992675
